,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021300024,124,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,10,51,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,1,1,1,20131101,BOS,MIL
1,Shot Chart Detail,0021300024,406,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,2,16,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20131101,BOS,MIL
2,Shot Chart Detail,0021300037,436,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20131102,MIL,TOR
3,Shot Chart Detail,0021300107,137,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-198,146,1,1,20131112,MIA,MIL
4,Shot Chart Detail,0021300107,448,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,6,42,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20131112,MIA,MIL
5,Shot Chart Detail,0021300107,471,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,187,1,1,20131112,MIA,MIL
6,Shot Chart Detail,0021300107,480,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,2,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,154,1,1,20131112,MIA,MIL
7,Shot Chart Detail,0021300111,85,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,3,5,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,16,1,1,20131113,ORL,MIL
8,Shot Chart Detail,0021300125,107,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,20,1,1,20131115,IND,MIL
9,Shot Chart Detail,0021300125,488,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,1,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,58,247,1,1,20131115,IND,MIL
10,Shot Chart Detail,0021300144,118,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,11,18,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20131116,MIL,OKC
11,Shot Chart Detail,0021300193,363,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,11,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20131123,MIL,CHA
12,Shot Chart Detail,0021300193,399,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20131123,MIL,CHA
13,Shot Chart Detail,0021300193,465,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,1,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,196,-6,1,1,20131123,MIL,CHA
14,Shot Chart Detail,0021300204,455,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,43,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-2,1,1,20131125,DET,MIL
15,Shot Chart Detail,0021300204,494,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20131125,DET,MIL
16,Shot Chart Detail,0021300228,433,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20131129,CHA,MIL
17,Shot Chart Detail,0021300228,559,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20131129,CHA,MIL
18,Shot Chart Detail,0021300247,78,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,83,244,1,1,20131130,MIL,BOS
19,Shot Chart Detail,0021300247,106,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,11,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20131130,MIL,BOS
20,Shot Chart Detail,0021300247,340,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,118,231,1,1,20131130,MIL,BOS
21,Shot Chart Detail,0021300247,343,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,0,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20131130,MIL,BOS
